opini_dokumen,opini_label
"Kantin diperluas, ac ditambahkan di setiap kelas, diperbanyak wifi",p
Fasilitas kurang memadai,n
Kursinya banyak yang rusak,n
No comment,n
"Dosennya jangan telat terus kasian kita nunggunya lama dra. naniek widyastuti, mt.",n
"Fasilitas perlu ditingkatkan lagi kelayakannya ac, internet, kantin",p
Kursinya diganti,p
Lantai diganti,p
"Internet gratis tercepat, area merokok khusus dibuatkan",p
"Ruangan s206 ada atapnya yang lubang dan kalau hujan bocor, tolong diperbaiki agar menunjang kenyamanan belajar dan kipas ruangan berdebu tebal mohon dibersihkan",p
"Untuk bangunan kampus tolong dicat ulang untuk bu dra. naniek widyastuti, mt. jangan sering tekat ya bu",n
"Kawasan bebas rokok, serta adanya kawasan hijau di akprind agar tidak seperti gurun",p
Area bebas rokok,p
Fasilitas sudah memenuhi,p
Kelasnya dicat ulang,n
Ruangan panas kurang sejuk,n
Acnya nggak dingin,n
"Fasilitas ac diperbanyak, stop kontak meja nongkrong diperhatikan ",n
Kursi mahasiswa yang kurang nyaman,n
Tingkatkan pelayanan fasiltas kampus,p
Acnya tolong diperbaiki,n
Lcd kurang baik,n
"Pendingin ruangan hanya pajangan, barang rusak dipakai tidak nyaman dengan ruangan kelas",n
Kelas panas dan bau mohon agar pendingin ruangan ditambah,p
"Kenyaman kelas sangat kurang, kurang nyaman",n
Tingkatkan lagi pelayananmu dan tingkatkan lagi kenyamananmu,p
Ac ne lek bayar larang,n
Fasilitas diperbaiki lagi dong,n
Wifi diperluas dong pak rektor,n
Kelasnya kurang diisi keramik,n
Ruang kelas kurang pendingin,n
"Ngajar jangan cepar2 endang widuri asih, s.t.,m.t.",n
Harap ac diganti dengan yang baru,p
"Ac ac, ac dan ac",n
Gambar yang ditampilkan projektor kurang jelas karena cahaya matahari mohon ruangan b203 jendela harap ditutup/diberi stiker agar gambar projektor jelas,p
Stop kontak di hotspot banyak yang tidak berfungsi,n
Kawasan hijau dan bebas rokok,p
Kursi diganti,n
Ac pak bu ac,n
Kawasan bebas rokok,p
Kawasan bebas rokok,p
Wifi gratis untuk mahasiswa,p
"Wifi masih bayar lcd jelek sering mati, warna tidak sesuai spidol sama ac",n
Mohon perbaiki papan tulis dan lcd dan juga jaringan internet karena proses terlalu lama,p
Jumlah mahasiswa dalam satu kelas terlalu rame tidak sesuai dengan keadaan,n
"Papan tulis kotor dan terkadang tinta spidol habis, komputer untuk lihat nilai dan krs kurang memadai dan kurang layak",n
Digital absensi,p
"Ac tolong ditambah, lcd diganti",p
"Lampu ruangan kurang cerah, lcd diganti yang lebih bagus",n
"Kenyamanan dan kebersihan ruangan harus diperhatikan, ac/kipas angin dibersihkan dua minggu agar menjaga kebersihan kurang, spidol white board",p
"Kalau memang ist akprind berbais teknik mengapa alat2 di laboratorium kurang memenuhi, tolong dipertimbangkan itu makasih",n
Spidol yang layak lcd yang layak,n
Perbaiki ac disemua ruangan karena kurang dingin ganti semua lcd projektor disemua ruangan karena sudah tidak layak tambahkan komputer untuk portal akprind lalu perbaiki jaringan tambahkan ruang praktikum untuk jurusan teknik geologi,p
Ruangan kelas pada musim hujan bocormohon diperbaiki atapnya ruangan juga terasa panas,p
"Ruasngan masih panas, ac ditambah monitor ganti yang baru kalau bisa kelas dicat ulang biar terlihat bersih, kursi buat duduk diganti",p
Sedia atm bri/bni,p
Atm bri/bni,p
Atm bri,p
Pengecatan ulang pembayayaran terstruktur,n
Materi yang diberi harus sesuai apa yang akan keluar di ujiannya,p
"Jika mau mengajar matakuliah tampilannya yang rapi lagi suraya, s.si., m.kom.",n
Lampu kelas banyak yang mati khususnya kelas lantai dua,n
"Wifi kurang menjangkau di sebagian kampus khusunya timur, wajib diperbaiki",p
Fasilitas dan infrastruktur dibawah rata2,n
Cukup usahakan hemat energi,n
Harap ruangan kampus i full ac,p
Mohon akses wifi lebih diperluas sarana internet salah satui penunjang mahasiswa untuk mencari reverensi tugas kuliah,p
Ac kurang dingin,n
"Terlalu banyak mencatat, kurang dalam penyampaian / pengajaran stephanus danny kurniawan, s.t., m.eng.",n
"Wifi lambat, dosen harap tidak hanya menulis di papan tulis saja jelaskan stephanus danny kurniawan, s.t., m.eng.",n
"Pengharum ruangannya gak ada, apalagi kalau ada yang setiap hari ruangan nya harus dibersihkan",n
Tambahin toilet dikampus,p
"Jika nilai yang jadi patokan berapa baik seseorang joko triyono, s.kom m.cs",n
"Butuh pohon, kantin, wifi, tempat nongkrong",n
Atm bersama free wifi,p
Kurangnya atap pada parkirn kampus 3,p
Kampus i perlu direnovasi minimal dicat ulang,p
Proyektor kurang jelas,n
"Tolong jangan terlalu cepat ketika mengcoding agar kita menerimanya lebih mudah erna kumalasari nurnawati, st.,mt.",n
"Tetep istiqomah ya bu dalam menjalankan kewajibannya sebagai dosen erna kumalasari nurnawati, st.,mt.",p
"Tetaplah menjadi dosen akprind bu cemungut eaaa nurul dzakiya, s.si, m.sc",p
"Cat ruang kelas harap diperbaharui, ac sering tak dingin",n
Kebersihan dan kerapian ruangan kalo bisa dalam ruangan ada pot bunga,p
Fasilitas kampus yang tidak layak sebaiknya diganti kebersihan kelas dan kampus ditingkatkan tempat istrirahat dan belajar mahasiswa ditambah,p
Tempat duduk depan jurusan ditambah agar tidak merasa terlantar dan yang sudah ada tolong diganti dengan yang layak,p
Seharusnya tempat dudk didepan jurusan geologi ditambah dan diganti dengan yang layak,p
"Sebaiknya mahasiswa diberikan handout materi yang diajarkan guna memudahkan mahasiswa dalam penguasaan materi, spidol yang sering kali habis seihingga tulisan di white board yang sudah tidak white sulit terbaca",p
"Tambahkan ruang kelas untuk pengeras suara, dosennya",p
Semangat,p
Tolong kebersihan kelas diperhatikan lagi,p
"Ac nya tolong ditambahi white board dibersihkan setiap hari, spidol beli yang baru",p
Ac kurang dingin banyak kursi yang rusak white board tolong diganti/dibersihkan setiap pergantian jam tangga diganti eskalator,n
Ac kurang dingin spidol dan papan tulis rusak,n
"Ac ruangan kurang dingi, ruangan selalu panas ",n
"Ac tolong dikondisikan, spidol diperbanyak, papan tulis diganti yang baru, wifi diperbanyak",p
Untuk kampus tolong diperbanyak spidol dan diperbaiki lcd/ac,p
"Perlu perbaikan sirkulasi udara, panas pak bu, tolong didengar",p
